"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2728083,"October 11, 2023",Kansas,Olathe,"23500 block of West 126th Ter",0,0,1,0,0,N/A
2728081,"October 11, 2023",Illinois,Chicago,"6643 S Evans Ave",0,1,0,0,0,N/A
2728072,"October 11, 2023",Tennessee,Memphis,"3000 block of Faxon Ave",1,1,0,0,0,N/A
2728068,"October 11, 2023",Tennessee,Memphis,"Hacks Cross Rd and Marsha Woods Dr",0,1,0,0,0,N/A
2728050,"October 11, 2023",Illinois,Chicago,"5400 block of S Wells St",0,1,0,0,0,N/A
2728048,"October 11, 2023",Illinois,Chicago,"7200 block of S Champlain Ave",0,1,0,0,0,N/A
2728046,"October 11, 2023",Tennessee,Memphis,"300 block of Clower Rd",1,0,0,0,0,N/A
2728039,"October 11, 2023",Tennessee,Memphis,"6210 Winchester",0,0,0,1,0,N/A
2728006,"October 11, 2023",Texas,Longview,"400 block of Main St",0,2,0,0,0,N/A
2728009,"October 11, 2023","District of Columbia",Washington,"1350 49th St NE",0,1,0,0,0,N/A
2728023,"October 11, 2023","District of Columbia",Washington,"2100 block 16th St SE",0,1,0,0,0,N/A
2727979,"October 11, 2023",Utah,"Cedar Valley (Fairfield)","Manning Canyon Rd and Wells Canyon Rd",0,0,1,0,0,N/A
2727984,"October 11, 2023",Ohio,Youngstown,"Rush Blvd and Lucius Ave",0,1,0,0,0,N/A
2727977,"October 11, 2023","New York",Bronx,"2295 Grand Concourse",0,1,0,0,0,N/A
2727939,"October 11, 2023",Alabama,Bessemer,"3000 block of Lindsey Loop Rd",0,1,0,0,0,N/A
2727921,"October 11, 2023",Alabama,"Birmingham (Homewood)","W Valley Ave and Barber Ct",0,1,0,0,0,N/A
2727899,"October 11, 2023","South Carolina","Horry (county)",N/A,0,1,0,0,0,N/A
2727869,"October 11, 2023",Indiana,Indianapolis,"8520 Northwest Blvd",1,2,0,0,0,N/A
2727854,"October 11, 2023","South Carolina","North Charleston","2700 block of E Surrey Dr",1,0,0,0,0,N/A
2727819,"October 11, 2023",Washington,Spokane,"Garland Ave and Nettleton St",0,1,0,0,0,N/A
2727805,"October 11, 2023","North Carolina",Albemarle,"311 Park Ridge Rd",0,0,0,0,1,N/A
2727803,"October 11, 2023",Michigan,Lansing,"300 block of E Willard St",0,1,0,0,0,N/A
2727793,"October 11, 2023",Georgia,"Port Wentworth","Stemson Way",1,0,0,0,0,N/A
2727780,"October 11, 2023",California,Stockton,N/A,0,1,0,0,0,N/A
2727765,"October 11, 2023",Michigan,Kalamazoo,"Park Pl and S Park St",0,1,0,0,0,N/A
2727742,"October 11, 2023",Wisconsin,Milwaukee,"N 27th St and W Brown St",0,1,0,0,0,N/A
2727736,"October 11, 2023",Minnesota,"Saint Paul","University Ave W and Rice St",0,1,0,0,0,N/A
2727719,"October 11, 2023","North Carolina",Charlotte,"6600 block of Wenda Place",1,0,0,0,0,N/A
2727655,"October 11, 2023",Nevada,Henderson,"460 N Arroyo Grande Blvd",0,0,0,0,1,N/A
2727708,"October 11, 2023",Florida,"Spring Hill","Marquette St",1,1,0,0,0,N/A
2727705,"October 11, 2023",Florida,Auburndale,"Century Blvd and Lake Ariana Blvd",0,1,0,0,0,N/A
2727609,"October 11, 2023",Illinois,Quincy,"400 block of Scenic Dr",1,0,0,0,0,N/A
2727607,"October 11, 2023",Arizona,Phoenix,"1703 W Bethany Home Rd",0,1,0,0,0,N/A
2727596,"October 11, 2023",Louisiana,Shreveport,"200 block of Boulevard St",0,0,0,1,0,N/A
2727572,"October 11, 2023",Utah,"Salt Lake City (Millcreek)","480 E 3900 S",0,1,0,0,0,N/A
2727568,"October 11, 2023",California,"Los Angeles","4131 Vermont Ave",0,1,0,0,0,N/A
2727563,"October 11, 2023",California,"Los Angeles","S Boyle Ave and E 4th St",0,1,0,0,0,N/A
2727435,"October 10, 2023",Maryland,Baltimore,"Maryland Ave and W 21st S",0,1,0,0,0,N/A
2727391,"October 10, 2023",Kentucky,Louisville,"2400 block of Lindsay Ave",0,1,0,0,1,N/A
2727405,"October 10, 2023",Kentucky,Louisville,"3400 block of Breckenridge Ln",0,1,0,0,0,N/A
2727166,"October 10, 2023",Pennsylvania,Philadelphia,"Jefferson St and N 18th St",0,1,0,0,0,N/A
2728066,"October 10, 2023",Pennsylvania,Philadelphia,"2500 block of Kensington Ave",0,1,0,0,0,N/A
2727361,"October 10, 2023",Ohio,Columbus,"4000 block of Luxury Ln",0,1,0,0,0,N/A
2727169,"October 10, 2023",Pennsylvania,Philadelphia,"500 block of King St",0,1,0,0,0,N/A
2728061,"October 10, 2023",Illinois,Chicago,"12600 block of S Lowe Ave",0,1,0,0,0,N/A
2728059,"October 10, 2023",Illinois,Chicago,"3900 block of N Tripp Ave",0,1,0,0,0,N/A
2728057,"October 10, 2023",Illinois,Chicago,"7900 block of S Halsted St",0,1,0,0,0,N/A
2728052,"October 10, 2023",Illinois,Chicago,"10100 block of S Winston Ave",0,1,0,0,0,N/A
2728033,"October 10, 2023",Ohio,Cincinnati,"2200 block of Harrison Ave",0,0,0,1,0,N/A
2727363,"October 10, 2023",Ohio,Columbus,"1000 block of Mt Vernon Ave",0,1,0,0,0,N/A
2727359,"October 10, 2023",Ohio,Columbus,"600 block of E Whittier St",0,1,0,0,0,N/A
2727355,"October 10, 2023",Virginia,"Glen Allen","9100 Brookwood Glen Dr",0,1,0,0,0,N/A
2727022,"October 10, 2023",Texas,"El Paso","14500 block of Montana Ave",0,1,0,0,0,N/A
2727381,"October 10, 2023",Indiana,Indianapolis,"Scotland Dr and Bank Pl",1,1,0,0,1,N/A
2727210,"October 10, 2023","West Virginia","Charleston (Chesapeake)","12900 block of Venable Ave",0,1,0,0,0,N/A
2727316,"October 10, 2023",Texas,Arlington,"915 E Randol Mill Rd",0,1,0,0,1,N/A
2727292,"October 10, 2023",Florida,Orlando,"1300 block of Santa Anita St",2,0,0,0,0,N/A
2727289,"October 10, 2023","North Carolina",Charlotte,"1500 Rosetree Ct",0,1,0,0,0,N/A
2727947,"October 10, 2023",Mississippi,"West Point","R C Rd",0,1,0,0,0,N/A
2727273,"October 10, 2023",Florida,Jacksonville,"Hugh Edwards Dr S",0,1,0,0,0,N/A
2727934,"October 10, 2023","New York","East Northport (Elwood)","Mander Ln",0,0,1,0,0,N/A
2727930,"October 10, 2023",Alabama,Mobile,"1509 Plaza Dr",0,3,0,0,0,N/A
2727557,"October 10, 2023",Florida,Bonifay,"2015 S Waukesha St",0,0,1,0,0,N/A
2727232,"October 10, 2023",Florida,Sarasota,"Webber St and Lime Ave",0,0,1,0,0,N/A
2727229,"October 10, 2023",Florida,"West Palm Beach","45th St and Military Trail",1,0,0,0,0,N/A
2727283,"October 10, 2023",Indiana,Indianapolis,"4100 block of Brentwood Dr",1,0,0,0,0,N/A
2727876,"October 10, 2023",Wisconsin,Madison,"116 Milky Way",1,3,0,0,0,N/A
2727216,"October 10, 2023",Colorado,Delta,"100 block of Bert St",0,0,0,1,0,N/A
2727089,"October 10, 2023","South Carolina",Darlington,"100 Magnolia St",1,0,0,0,0,N/A
2727197,"October 10, 2023",Colorado,Aurora,"12000 block of E Warren Dr",0,1,0,0,0,N/A
2727113,"October 10, 2023",Missouri,Fenton,"I-44 and Bowles Ave",0,1,0,0,1,N/A
2727795,"October 10, 2023",Georgia,Lagrange,"100 Buck Murphy Rd",0,1,0,0,0,N/A
2727787,"October 10, 2023",Georgia,Dallas,"Clear Creek Dr",0,1,0,0,0,N/A
2727782,"October 10, 2023",Michigan,Flint,"700 block of E Bundy Ave",1,0,0,0,0,N/A
2727776,"October 10, 2023",Georgia,"Fort Valley","301 Edward St",0,0,1,0,0,N/A
2727769,"October 10, 2023",Georgia,Albany,"700 block of E Town Rd",0,1,0,0,1,N/A
2727744,"October 10, 2023",Wisconsin,Milwaukee,N/A,0,1,0,0,0,N/A
2727711,"October 10, 2023",Florida,Hudson,"Jerbert Dr",1,0,0,0,0,N/A
2727079,"October 10, 2023",Illinois,Chicago,"600 block of W Division St",0,1,0,0,0,N/A
2727700,"October 10, 2023","North Carolina",Charlotte,"1901 Pavilion Blvd",1,0,0,0,0,N/A
2727697,"October 10, 2023",Florida,"Miami Gardens","Miami Gardens Dr and NW 34th Ct",1,0,0,0,1,N/A
2727695,"October 10, 2023",Wisconsin,Milwaukee,"N 51st Blvd and W Parkway Dr",0,1,0,0,0,N/A
2727689,"October 10, 2023",Wisconsin,Milwaukee,"S 36th St and W Scott St",0,2,0,0,0,N/A
2727277,"October 10, 2023",Florida,Jacksonville,"800 block of Alderman Rd",0,1,0,0,0,N/A
2727042,"October 10, 2023",Missouri,"Poplar Bluff","3209 Oak Grove Rd",0,0,0,0,1,N/A
2727660,"October 10, 2023",Texas,Houston,"8200 Gulck Ln",0,2,0,0,1,N/A
2727647,"October 10, 2023",Texas,Houston,"8500 block of Pitner Rd",0,1,0,0,4,N/A
2727620,"October 10, 2023","New Mexico","Santa Fe","Paseo De La Conquistadora and Camino Alire",0,1,0,0,0,N/A
2727614,"October 10, 2023",Ohio,Mansfield,"800 block of Brookfield Dr",1,1,0,0,0,N/A
2727538,"October 10, 2023",Texas,"Fort Worth","9500 block of White Settlement Rd",0,1,0,0,1,N/A
2727585,"October 10, 2023",California,Oakland,"900 block of E 11th St",0,1,0,0,0,N/A
2727583,"October 10, 2023",California,Oakland,"300 block of 105th Ave",1,0,0,0,0,N/A
2726996,"October 10, 2023",California,"Los Angeles","200 block of Harwood St",0,1,0,0,0,N/A
2727559,"October 10, 2023",Louisiana,Alexandria,"3700 block of 4th St",0,1,0,0,0,N/A
2727541,"October 10, 2023",Illinois,"East Saint Louis (East St Louis)","606 S 15th St",0,2,0,0,0,N/A
2727535,"October 10, 2023",California,"Los Angeles","13736 Victory Blvd",0,1,0,0,0,N/A
2727532,"October 10, 2023",California,"Los Angeles","13146 Bassett St",0,1,0,0,0,N/A
2727530,"October 10, 2023",California,"Los Angeles","S Crenshaw Blvd and W 30th St",0,1,0,0,0,N/A
2727528,"October 10, 2023",California,"Los Angeles","424 E 98th St",0,1,0,0,0,N/A
2726951,"October 10, 2023",California,"Los Angeles","223 E 89th St",0,1,0,0,0,N/A
2727521,"October 10, 2023",Louisiana,Franklin,"800 block of Iberia St",0,2,0,0,0,N/A
2727512,"October 10, 2023","New Jersey",Newark,"239 Roseville Ave",0,1,0,0,0,N/A
2727395,"October 10, 2023",Kentucky,Louisville,"100 block of N 27th St",0,1,0,0,0,N/A
2727399,"October 10, 2023",Kentucky,Louisville,"1400 block of Thornberry Ave",1,0,0,0,0,N/A
2727402,"October 10, 2023",Kentucky,Louisville,"4000 block of Taylor Blvd",1,1,0,0,0,N/A
2727183,"October 10, 2023",Pennsylvania,Pittsburgh,"6th St",0,1,0,0,0,N/A
2727437,"October 9, 2023",Illinois,Rockford,"Cameron Ave",0,1,0,0,0,N/A
2727424,"October 9, 2023",Illinois,Rockford,"715 Broadway",0,1,0,0,0,N/A
2727415,"October 9, 2023",Louisiana,Lafayette,"100 block of Evelyn Dr",0,2,0,0,0,N/A
2726644,"October 9, 2023","West Virginia",Bluefield,"Stoney Ridge Rd",1,0,0,0,1,N/A
2726981,"October 9, 2023",Illinois,Rockford,"600 block of Ranger St",0,1,0,0,0,N/A
2727386,"October 9, 2023",Kentucky,Louisville,"S 17th St and Magazine St",0,1,0,0,0,N/A
2726954,"October 9, 2023",Illinois,Chicago,"4954 W Huron St",0,1,0,0,0,N/A
2726747,"October 9, 2023",Nevada,Pahrump,"500 block of Bunarch Rd",0,0,1,0,0,N/A
2726865,"October 9, 2023",Kentucky,Louisville,"College Ct and S 8th St",0,1,0,0,0,N/A
2726554,"October 9, 2023",Ohio,Cleveland,"3400 block of E 52nd St",1,0,0,0,0,N/A
2726661,"October 9, 2023",Connecticut,Hartford,"18 Nelton Way",1,0,0,0,0,N/A
2728054,"October 9, 2023",Ohio,"Beachwood (Warrensville Heights)","19700 block of Sunset Dr",1,0,0,0,1,N/A
2726861,"October 9, 2023",Ohio,Cleveland,"3130 Central Ave",0,1,0,0,0,N/A
2726859,"October 9, 2023","New Mexico",Albuquerque,"1100 block of 2nd St NW",1,0,0,0,0,N/A
2726857,"October 9, 2023",Virginia,Portsmouth,"3201 George Washington Hwy",1,0,0,0,0,N/A
2727379,"October 9, 2023",Ohio,Columbus,"1800 block of Oak Grove Ct",0,1,0,0,0,N/A
2726833,"October 9, 2023",Tennessee,Memphis,"5200 block of Sunray Dr",1,0,0,0,0,N/A
2727301,"October 9, 2023",Tennessee,Knoxville,"2401 Chapman Hwy",0,1,0,0,0,N/A
2726827,"October 9, 2023",Tennessee,Memphis,"2798 Mojave Pl",1,1,0,0,1,N/A
2727357,"October 9, 2023",Tennessee,Antioch,"2937 Split Oak Trail",0,0,1,0,0,N/A
2726808,"October 9, 2023",Tennessee,Nashville,"2700 block of Scovel St",0,1,0,0,0,N/A
2726806,"October 9, 2023",Minnesota,Minneapolis,"2125 Glenwood Ave",0,1,0,0,0,N/A
2727349,"October 9, 2023",Alabama,Birmingham,"2100 block of Fifth Ave N",0,1,0,0,0,N/A
2726571,"October 9, 2023",Maryland,Laurel,"14120 West Side Blvd",1,0,0,0,0,N/A
2726778,"October 9, 2023",Illinois,Chicago,"3300 block of W Douglas Blvd",0,1,0,0,0,N/A
2727333,"October 9, 2023",Tennessee,Cookeville,"Skyline Dr",1,0,0,0,0,N/A
2726803,"October 9, 2023",Tennessee,Athens,"Co Rd 100 and Co Rd 110",0,1,0,0,1,N/A
2726576,"October 9, 2023",Indiana,Indianapolis,"6400 block of Lupine Terrace",0,2,0,0,0,N/A
2726973,"October 9, 2023",Texas,Paradise,"100 block of Honeysuckle Rd",0,0,0,1,1,N/A
2727321,"October 9, 2023",Georgia,Atlanta,"820 W Marietta St NW",0,1,0,0,0,N/A
2726602,"October 9, 2023",Georgia,Macon,"4280 Mercer University Dr",1,0,0,0,0,N/A
2726853,"October 9, 2023",Georgia,"Warner Robins","120 Garland Terrace",0,1,1,0,0,N/A
2727303,"October 9, 2023",Texas,"Fort Worth","4400 Fair Park Blvd",0,1,0,0,0,N/A
2727265,"October 9, 2023",Florida,Jacksonville,"8500 Argyle Business Loop",1,0,0,0,0,N/A
2726870,"October 9, 2023","New York","New York (Manhattan)","3845 10th Ave",0,2,0,0,0,N/A
2726743,"October 9, 2023",Louisiana,Shreveport,"Terry St and David Raines Rd",0,1,0,0,0,N/A
2726457,"October 9, 2023",Wisconsin,Milwaukee,"N 55th St and W Custer Ave",0,1,0,0,0,N/A
2726664,"October 9, 2023",Louisiana,Shreveport,"1700 block of Alma St",0,1,0,0,0,N/A
2727237,"October 9, 2023",Florida,Jacksonville,"Herlong Rd and Fouraker Rd",1,1,0,0,0,N/A
2726736,"October 9, 2023",Mississippi,Vicksburg,"2727 Alcorn Dr",0,1,0,0,0,N/A
2726481,"October 9, 2023",Tennessee,Knoxville,"Ben Hur Ave and Martin Luther King Jr Ave",1,0,0,0,0,N/A
2726694,"October 9, 2023",Mississippi,Beulah,"201 Railroad St",0,1,0,0,0,N/A
2726692,"October 9, 2023",Mississippi,Greenville,"300 block of McAllister St",1,0,0,0,0,N/A
2727199,"October 9, 2023",Colorado,Denver,"E Colfax Ave and Verbena St",0,1,0,0,0,N/A
2727194,"October 9, 2023",Colorado,Greeley,"11th Ave and 15th St",0,1,1,0,0,N/A
2726658,"October 9, 2023",Connecticut,Hartford,"Fairfield Ave and Roxbury St",0,2,0,0,0,N/A
2727176,"October 9, 2023",Michigan,Flint,"1500 block of Jane Ave",1,0,0,0,1,N/A
2727173,"October 9, 2023","North Carolina",Wilmington,"Oleander Dr and S College Rd",0,1,0,0,0,N/A
2726613,"October 9, 2023",Ohio,Columbus,"417 S Weyant Ave",0,0,0,0,1,N/A
2727077,"October 9, 2023","North Carolina","Black Mountain","602 W State St",0,0,1,0,0,N/A
2726504,"October 9, 2023","North Carolina","Kure Beach","1610 Fort Fisher Blvd S",1,1,0,0,1,N/A
2726589,"October 9, 2023",Florida,"Saint Petersburg","1021 James Ave S",0,1,0,0,0,N/A
2727144,"October 9, 2023",Oklahoma,"Oklahoma City","400 S Meridian Ave",0,0,1,0,0,N/A
2727137,"October 9, 2023","North Dakota",Minot,"7th St SW and W Central Ave",0,0,1,0,0,N/A
2726656,"October 9, 2023",Wisconsin,Milwaukee,"3888 N 7th St",1,0,0,0,0,N/A
2726799,"October 9, 2023",Wisconsin,Milwaukee,"1115 W Greenfield Ave",0,1,0,0,0,N/A
2726801,"October 9, 2023",Wisconsin,Milwaukee,"931 W Madison St",0,1,0,0,0,N/A
2727126,"October 9, 2023",Wisconsin,Milwaukee,"200 block of E Center St",0,1,0,0,0,N/A
2727724,"October 9, 2023",California,"San Francisco","200 block of Hillside Blvd",0,1,0,0,0,N/A
2727095,"October 9, 2023","North Carolina","Franklin (Iotla)",N/A,0,1,0,0,1,N/A
2727297,"October 9, 2023",Florida,"Delray Beach","7959 W Atlantic Ave",0,1,1,0,0,N/A
2727295,"October 9, 2023","North Carolina",Charlotte,"Krefeld Glen Dr",0,0,0,1,0,N/A
2727087,"October 9, 2023","New Mexico","Rio Rancho","NM-528 and Westside Blvd",0,1,0,0,0,N/A
2727702,"October 9, 2023",Florida,Miami,"2400 block of NW 2nd Ave",1,0,0,0,1,N/A
2727075,"October 9, 2023",Illinois,Chicago,"10900 block of S State St",0,1,0,0,0,N/A
2727070,"October 9, 2023",Illinois,Chicago,"5000 block of W North Ave",0,1,0,0,0,N/A
2727066,"October 9, 2023","South Carolina",Charleston,"3601 Mary Ader Ave",0,1,0,0,0,N/A
2726568,"October 9, 2023",Florida,"Fort Lauderdale (Lauderhill)","261 NW 38th Ave",0,1,0,0,1,N/A
2726417,"October 9, 2023","North Carolina",Hendersonville,"1909 Four Seasons Blvd",1,0,0,0,1,N/A
2727279,"October 9, 2023",Florida,Jacksonville,"12000 block of Bucks Harbor Dr S",0,1,0,0,1,N/A
2726796,"October 9, 2023",Illinois,Chicago,"9300 block of S Halsted St",1,1,0,0,0,N/A
2726843,"October 9, 2023",Arizona,Phoenix,"N 32nd Ave and W Van Buren St",0,1,0,0,0,N/A
2727044,"October 9, 2023",Arizona,Phoenix,"N 38th Ave and W Polk St",0,1,0,0,1,N/A
2726403,"October 9, 2023",Arizona,Phoenix,"2433 E Van Buren St",0,1,0,0,1,N/A
2727037,"October 9, 2023",Illinois,Chicago,"1558 N Damen Ave",0,1,0,0,0,N/A
2726415,"October 9, 2023",Texas,"San Antonio","2170 Thousand Oaks Dr",0,1,0,0,0,N/A
2727033,"October 9, 2023",California,"Rancho Cordova","10700 block of Coloma Rd",1,0,0,0,0,N/A
2727643,"October 9, 2023",Mississippi,Forest,"Wash Dr",2,0,0,0,1,N/A
2727031,"October 9, 2023",Illinois,Chicago,"4700 block of S Ashland Ave",1,0,0,0,0,N/A
2727024,"October 9, 2023",Arizona,Tucson,"E Camino Point Dr and S Cottontail Run Ave",0,1,0,0,0,N/A
2726364,"October 9, 2023",Arizona,Tucson,"900 S Randolph Way",0,0,0,1,0,N/A
2726977,"October 9, 2023",Texas,Houston,"13732 East Fwy",1,0,0,0,1,N/A
2726767,"October 9, 2023",Illinois,Chicago,"6252 S Ashland Ave",1,0,1,0,0,N/A
2726318,"October 9, 2023",Texas,Austin,"2200 block of I-35",0,1,0,1,1,N/A
2726961,"October 9, 2023",California,Bakersfield,"700 block of Goodman St",0,1,0,0,0,N/A
2726332,"October 9, 2023",California,Oakland,"8500 block of Holly St",0,1,0,0,0,N/A
2726327,"October 9, 2023",California,Oakland,"4100 block of Foothill Blvd",0,1,0,0,0,N/A
2727002,"October 9, 2023",Texas,Houston,"6303 Eastland St",1,0,0,0,0,N/A
2726295,"October 9, 2023",California,"West Hollywood","7746 Santa Monica Blvd",0,1,0,0,1,N/A
2726301,"October 9, 2023",California,"Los Angeles","600 S Santa Fe Ave",0,1,0,0,0,N/A
2726945,"October 9, 2023",Missouri,"Kansas City","E 86th St and Blue Ridge Blvd",0,1,0,0,0,N/A
2726900,"October 9, 2023",Connecticut,"East Hartford","130 Nutmeg Ln",0,1,0,0,0,N/A
2727445,"October 9, 2023",Mississippi,Petal,N/A,0,1,0,0,0,N/A
2726675,"October 9, 2023",Louisiana,Shreveport,"6800 Rasberry Ln",0,1,0,0,0,N/A
2726936,"October 9, 2023","New Jersey",Maplewood,"Evelyn Ct and Boyden Ave",0,1,0,0,0,N/A
2727508,"October 9, 2023","New Jersey",Pleasantville,"N Main St and Pleasant Ave",1,0,0,0,0,N/A
2727495,"October 9, 2023","District of Columbia",Washington,"Florida Ave and New York Ave NE",0,1,0,0,0,N/A
2727473,"October 9, 2023",Pennsylvania,Chester,"1239 Curran St",1,0,0,0,0,N/A
2727484,"October 9, 2023","District of Columbia",Washington,"1200 block of Queen St NE",0,2,0,0,1,N/A
2726683,"October 9, 2023",Pennsylvania,Philadelphia,"6200 block of N Mascher St",0,2,0,0,0,N/A
2727470,"October 9, 2023",Maryland,"Fort Washington","8340 Indian Head Hwy",1,0,0,0,0,N/A
2726928,"October 9, 2023","New York","Corona (Queens)","114-49 148th St",0,1,0,0,0,N/A
2726776,"October 9, 2023",Kentucky,Louisville,"El Conquistador Pl and Breckenridge Ln",0,1,0,0,1,N/A
2726818,"October 9, 2023",Pennsylvania,Philadelphia,"Belgrade St and E Schiller St",0,0,0,1,0,N/A
2726921,"October 9, 2023",California,"San Francisco","1450 Laguna St",1,0,0,0,0,N/A
2726895,"October 9, 2023",Virginia,Norfolk,"6609 Jefferson Ct",0,1,0,0,0,N/A
2726191,"October 8, 2023",Ohio,Cleveland,"E 82nd St and Harvard Ave",0,1,0,0,0,N/A
